Course_description,in_state_price,course_name,Course_schedule_type,Course_schedule_from,course_site,Course_schedule_time,out_state_price
"Focuses on the writing of essays. This course offers students the  opportunity to understand writing as a process and to develop clear,  effective presentation of ideas. The student develops an awareness of  the relationship between writer and reader. The course includes word  processing methods and research and documentation using print and  electronic texts. NOTE: Students may receive credit for only ENG 101  or ENG 103 or ENG 105",656,ENG101. English Composition 1: Expository Writing, in class,From 1/5/2016 to 1/25/2016,Greenfield Community College,WTWThF 8:00am-12:00pm,656
"This course will provide a systematic study of the causes, symptoms, prognosis, and treatment of various psychological disorders. Attention is given to the methods used to diagnose disorders and the standard classification system that is used. Emphasis is on how disorders deviate from what characterizes normal behavioral development. A multipath perspective that considers biological/genetic, psychological, social, and multicultural factors is used to analyze the causes, course, and treatment of psychological disorders.  Prerequisite: PSYC 101 General Psychology or departmental approval.",561,PSYC201. Abnormal Psychology, Inclass,From 1/4/2016 to 1/15/2016,Massasoit Community College,MTWRF-12.30PM-4.30PM,1179
TBA,724,BUS 221. Financial Accounting,"
                    * Please review your information before submit your request.
                    <br>
                    We will get back to your within 2 Business Days for confirmation! Thank you!
                ",Class Type: Online,Middlesex Community College,From 1/4/2016 to 1/22/2016,772
Course_description,in_state_price,course_name,Course_schedule_type,Course_schedule_from,course_site,Course_schedule_time,out_state_price
"This courses introduces concepts relevant to the diagnosis and treatment of substance abuse, including the disease concept; the effect of alcohol and other drugs on the body; medical complications; the effect of substance abuse problems on the family and others; and special issues related to populations such as adolescents, individuals at risk for suicide, women, the elderly, and individuals with a dual diagnosis. Same as HSV 208. Prerequisite: PSY 110 or SOC 110",492,HSV 208. Substance Abuse, Online,From 1/6/2016 to 1/19/2016,Holyoke Community College,TBA,1110
"Major geographic concepts and contemporary world regional geography. Examines the field of geography, basic globe and map concepts, the physical world (oceans and continents), and the political world (states and other political units). Includes an in-depth inspection of each of the world's developed and developing realms.",492,GEO 110. World Reg Geography, Online,From 1/6/2016 to 1/19/2016,Holyoke Community College,TBA,1110
"Each of the managerial functions--planning, organizing, directing, and controlling--is discussed from the standpoint of how all four interrelate to become the management process. Managerial skills necessary to accomplish these functions are also described, including human relations, decision making, and communication.",492,MGT 230. Prin Of Management, Online,From 1/6/2016 to 1/19/2016,Holyoke Community College,TBA,1110
TBA,543,HST 121-W30. US History Before 1865,"
                    * Please review your information before submit your request.
                    <br>
                    We will get back to your within 2 Business Days for confirmation! Thank you!
                ",Class Type: Online,Middlesex Community College,From 1/4/2016 to 1/22/2016,1161
TBA,543,BUS 140-W30. Sales Principles,"
                    * Please review your information before submit your request.
                    <br>
                    We will get back to your within 2 Business Days for confirmation! Thank you!
                ",Class Type: Online,Middlesex Community College,From 1/4/2016 to 1/22/2016,1161
Location: Bedford HH-211,543,HUS 101-W30. Intro to Human Services, InClass,From 1/4/2016 to 1/22/2016,Middlesex Community College,10:30 am -   12:30 pm / T,1161
"A sociological examination of the nature, causes and consequences of, and potential solutions for, social problems. Attention will be focused on problems of deviant behavior, structural problems, problems of inequality, institutional problems, and global survival problems. Prerequisite: SOC 110",492,SOC 214. Social Problems. COM 121. Intro To Comm, Online,From 1/6/2016 to 1/19/2016,Holyoke Community College,TBA,1110
"An introduction to sociological perspectives on the complex historical processes that contribute to the social construction of gender. This course examines different theories generated to explain the system of inequalities in the United States. Particular attention will be given to the intersection of gender, sexuality, class ethnicity, and race. Social change and the place of feminism in that change will be a central focus of the course. Prerequisite: SOC 110",492,SOC 215. Sociology of Sex &amp; Gender, Online,From 1/6/2016 to 1/19/2016,Holyoke Community College,TBA,1110
"A study of the basic marketing principles, functions, and institutions. Emphasis is on marketing concepts; the role of the consumer; and characteristics of retail, wholesale, industrial, and commodities marketing. The relationship of marketing to the behavioral sciences is emphasized.",492,MKT 240. Princ Of Marketing, Online,From 1/6/2016 to 1/19/2016,Holyoke Community College,TBA,1110
Location: Bedford HH-316,724,BIO 120-W01. Intro To Biology, InClass,From 1/4/2016 to 1/22/2016,Middlesex Community College,09:00 am -   11:10 am / MTWRF,1548
"An introductory, hands-on course designed to provide an overview of microcomputer hardware and software currently available and to provide hands-on exposure to internet, e-mail, operating system, word processing spreadsheets, database and graphics applications. Students will not receive credit for CSI 111 and BUS 115. Keyboarding skills preferred, but not required.",492,BUS 115. Micro Comp App. CAP 101-W30. Computer Applications, Online,From 1/6/2016 to 1/19/2016,Holyoke Community College,TBA,1110
"Principles of public speaking as communication, stressing the role of the speaker in the communication process. The course emphasizes the proper preparation and delivery of speeches. Each student delivers a minimum of five speeches and participates in small group activities. NOTE: Students may receive credit for PCS 101 or PCS 131, but not both.  Course meets 1/5- 1/25. No class 1/18.   Associated Term: Spring 2016   Offered: Every Fall, Spring &amp; Summer   Registration Dates: Nov 03, 2015 to Jan 05, 2016   Levels: Undergraduate   Attributes: HL-Hum/Fine Arts/Lib Art Elec",656,PCS101. Public Speaking, InClass,From 1/5/2016 to 1/26/2016,Greenfield Community College,9:00 am - 12:00 pm / MTWRF,656
TBA,543,HST 130. History World Civ Before 1500,"
                    * Please review your information before submit your request.
                    <br>
                    We will get back to your within 2 Business Days for confirmation! Thank you!
                ",Class Type: Online,Middlesex Community College,From 1/4/2016 to 1/22/2016,1161
"Critically examines the cycle of conflict in western society and provides an overview of traditional and alternative strategies of conflict resolution, including mediation. The complexities of power imbalances and cultural differences are explored within the frameworks of personal and structural conflict. Conflict is viewed as an opportunity for growth and empowerment, rather than merely as a problem to be solved. Students learn conflict resolution and mediation skills that are transferable to work, home and school.",492,SSN 120. Conflict Resolution &amp; Med, Online,From 1/6/2016 to 1/19/2016,Holyoke Community College,TBA,1110
TBA,543,HST 130. History World Civ Before 1500,"
                    * Please review your information before submit your request.
                    <br>
                    We will get back to your within 2 Business Days for confirmation! Thank you!
                ",Class Type: Online,Middlesex Community College,From 1/4/2016 to 1/22/2016,1161
"Students examine the purpose, role and  responsibility of business in American society and gain   a broad overview of the functions, institutions, principles  and practices of business and other organizations. This  course provides a basic foundation for those students  who will specialize in business and an opportunity for  non-business majors to learn about the business world as  a major social institution","526,5",BUS 100 001 75. Introduction to Business,"
                    * Please review your information before submit your request.
                    <br>
                    We will get back to your within 2 Business Days for confirmation! Thank you!
                ",Class Type: Online,Cape Cod Community College,From 1/4/2016 to 1/22/2016,"1144,5"
"This course examines the reading interests of children from pre-school years through the elementary grades with emphasis on the contribution that reading can make toward the process of growth. Topics include the history of literature for children, illustrators, folk tales, myths, modern fanciful tales, fiction, poetry, and books in special fields. This course requires extensive reading and writing.",561,ENGL 121 N3. Children's Literature. ENL 150 001 75. World Mythologies,In State Price: $526.5,Class Type: Online,Massasoit Community College,From 1/4/2016 to 1/15/2016,1179
"A survey of the short story as a literary genre from its beginnings in the early 19th century to the present time with emphasis on interpretation and analysis, characters in conflict, point of view, and symbolism. ",819,ENG 261 - 1. The Short Story, Inclass,From 1/5/2016 to 1/26/2016,Greenfield Community College.,MTWRF-9:00 am - 12:00 pm,1584
"Students examine the purpose, role and  responsibility of business in American society and gain   a broad overview of the functions, institutions, principles  and practices of business and other organizations. This  course provides a basic foundation for those students  who will specialize in business and an opportunity for  non-business majors to learn about the business world as  a major social institution","526,5",BUS 100 001 75. Introduction to Business,"
                    * Please review your information before submit your request.
                    <br>
                    We will get back to your within 2 Business Days for confirmation! Thank you!
                ",Class Type: Online,Cape Cod Community College,From 1/4/2016 to 1/22/2016,"1144,5"
"Principles of public speaking as communication, stressing the role of the speaker in the communication process. The course emphasizes the proper preparation and delivery of speeches. Each student delivers a minimum of five speeches and participates in small group activities. NOTE: Students may receive credit for PCS 101 or PCS 131, but not both.  Course meets 1/5- 1/25. No class 1/18.   Associated Term: Spring 2016   Offered: Every Fall, Spring &amp; Summer   Registration Dates: Nov 03, 2015 to Jan 05, 2016   Levels: Undergraduate   Attributes: HL-Hum/Fine Arts/Lib Art Elec",656,PCS101. Public Speaking, InClass,From 1/5/2016 to 1/26/2016,Greenfield Community College,9:00 am - 12:00 pm / MTWRF,656
"A survey of the short story as a literary genre from its beginnings in the  early 19th century to the present time with emphasis on interpretation  and analysis, characters in conflict, point of view, and symbolism.",656,ENG261. The Short Story, in class,From 1/5/2016 to 1/25/2016,Greenfield Community College,WTWThF 9:00am-12:00pm,656
"  This course fosters and improves competence  in intrapersonal, interpersonal, group and public  communication situations.  Students demonstrate skills  necessary to communicate effectively through exercises  and presentations that reflect practical, real-world situations.  The purpose of the course is to improve the student’s skill  in communication by providing relevant knowledge and  opportunity to apply that knowledge.  Prerequisite: ENL010  or ESL102 or satisfactory basic skills assessment score  / 3 credits. Satisfies a Humanities &amp; Fine Arts general  education requirement. ","526,5",COM 103 002 75. Human Communication. SPCH105. Speech Communication. PCS 101 - 1. Public Speaking, Inclass,From 1/4/2016 to 1/22/2016,Cape Cod Community College,"MTWRF 9:00 AM-12:30 PM; Main Campus, M M Wilkens Bldg, 116","1144,5"
"Focuses on the writing of essays. This course offers students the  opportunity to understand writing as a process and to develop clear,  effective presentation of ideas. The student develops an awareness of  the relationship between writer and reader. The course includes word  processing methods and research and documentation using print and  electronic texts. NOTE: Students may receive credit for only ENG 101  or ENG 103 or ENG 105",656,ENG101. English Composition 1: Expository Writing, in class,From 1/5/2016 to 1/25/2016,Greenfield Community College,WTWThF 8:00am-12:00pm,656
